domain,equation_count,display_equation_count,inline_equation_count,article_count,top_tools,example_equations,representative_articles
Engineering,6088,2558,3530,936,mechanical-systems-engineering-tool | structural-engineering-tool | decision-analysis-tool | global-impact-assessment-matrix | systems-modeling-tool | limits-to-growth-system-dynamics-tool | economics-calculator | economics-forecasting-and-scenario-tool,"\alpha: W \rightarrow M ; M=(V,P,A,R,C,O) ; \psi(M) \approx \phi(W) \quad \text{for purpose } U ; f(a\ast b)=f(a)\circ f(b) ; x+y=y+x","Rotational Dynamics, Torque, and Angular Momentum | Continuum Physics and Material Behavior | Lagrangian and Hamiltonian Mechanics | Non-equilibrium Statistical Mechanics | Institutions and Human Behavior: The Psychological Foundations of Social Order"
"Electrical, RF, and Power Systems",5874,2769,3105,871,electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | systems-modeling-tool | limits-to-growth-system-dynamics-tool | mechanical-systems-engineering-tool | structural-engineering-tool | decision-analysis-tool,"H_{t+1} = u(H_t, E_{t+1}) ; X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t ; S_{t+1}=S_t+I_t-D_t-L_t ; 3 + 2 = 5 ; I(T(x))=I(x)","Superconductivity, Superfluidity, and Macroscopic Quantum Order | Semiconductor Physics and Electronic Materials | Waves, Oscillations, and Resonance | Human–AI Interaction and Interface Design | Non-equilibrium Statistical Mechanics"
Mathematical Modeling,5058,2476,2582,749,systems-modeling-tool | systems-thinking-tool,C_i = \frac{Q_i}{6} ; S_i = \frac{E_i}{Q_i} ; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; H^* = \arg\max_H P(H \mid O) ; a+b=b+a,"Group Theory and Representation Theory in Physics | What Makes Algebraic Thinking Distinct? | Geometry and the Visual Mind in Mathematics | Quantum Field Theory I: Fields, Particles, and Second Quantization | Orthogonality and Structured Simplification: How Linear Algebra Separates System Structure"
Environmental Monitoring,4350,1865,2485,676,environmental-monitoring-qaqc-tool | environmental-science-calculator | decision-analysis-tool | global-impact-assessment-matrix | mechanical-systems-engineering-tool | structural-engineering-tool | systems-modeling-tool | limits-to-growth-system-dynamics-tool,"S_t = \text{stored resource at time } t ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; A\approx \sum_{i=1}^{n}F_i\Delta t_i ; 2H_2O \rightleftharpoons H_3O^+ + OH^- ; K_a = \frac{x^2}{C-x}",Reinforcement Learning in Dynamic Environments | Climate Physics and Planetary Energy Balance | Data Acquisition and Embedded Sensor Interfaces for Embedded Systems | Environmental Sensor Networks for Embedded and Edge Systems | Artificial Intelligence in Environmental Monitoring
"Risk, Resilience, and Global Impact",3792,1352,2440,681,decision-analysis-tool | global-impact-assessment-matrix | systems-modeling-tool | limits-to-growth-system-dynamics-tool | economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | regression-analyzer,"V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; \mathcal{H} = \{H_1, H_2, H_3, ..., H_n\} ; C_A \leq f(P(H), Q_E, L_R) ; W \xrightarrow{\alpha} M \xrightarrow{\text{analysis}} O \xrightarrow{\iota} I ; S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau","Organizational Storytelling, Purpose, and Change: How Stories Shape Culture, Trust, and Transformation | Law, Evidence, and Narrative Responsibility: How Legal Stories Stay Accountable to Proof | National Narratives and the Politics of Memory: How Nations Remember, Forget, and Contest the Past | Storytelling and the Ethics of Representation: How to Portray People Responsibly | Extinction, Contingency, and Biological Transformation"
Health and Clinical Research,3772,1585,2187,667,clinical-research-calculator | health-and-medical-public-health-analytics-tool | decision-analysis-tool | global-impact-assessment-matrix | mechanical-systems-engineering-tool | structural-engineering-tool | systems-modeling-tool | limits-to-growth-system-dynamics-tool,"G=\int_{t_0}^{t_1}I(t)\,dt+\int_{t_0}^{t_1}O(t)\,dt ; E_w(t_0,t_1)=\int_{t_0}^{t_1}w(t)C(t)\,dt ; D(t)=D(t_0)+\int_{t_0}^{t}r(\tau)\,d\tau ; E=CT ; E=\int_{t_0}^{t_1}C(t)\,dt","Partial Derivatives and Interaction Effects: How Calculus Measures Local System Sensitivity | Elasticity, Sensitivity, and Marginal Response: How Calculus Measures System Responsiveness | Implicit Differentiation and Coupled Relationships: How Calculus Tracks Linked System Change | When Narrative Framework Becomes Formula: How Story Models Turn Into Templates | Thresholds, Trials, and Transformative Ordeals"
Systems Modeling,1543,704,839,427,systems-modeling-tool | limits-to-growth-system-dynamics-tool | regression-analyzer | predictive-analytics-forecasting-tool | time-series-diagnostics-tool,R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; \alpha_{A^-} = \frac{K_a}{K_a + [H^+]} ; MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution ; \bar{Y}(t) = \frac{1}{m}\sum_{k=1}^{m}Y_k(t) ; D(t)=\max_g A_g(t)-\min_g A_g(t),"Information Flow and Organizational Communication | Molecular Biology and the Flow of Genetic Information | Grit and Long-Term Achievement | Designing Knowledge Systems for Education | Grit, Setbacks, and Recovery"
Economics,962,440,522,257,economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | systems-modeling-tool | limits-to-growth-system-dynamics-tool | regression-analyzer | predictive-analytics-forecasting-tool | time-series-diagnostics-tool,"S(x) \approx \hat{S}_{\theta}(x) ; x_{next} = \arg\max_{x \in \mathcal{X}} a(x) ; P(H \mid D) = \frac{P(D \mid H)P(H)}{P(D)} ; V_{assess} = P(\mathrm{evidence}\mid \mathrm{construct}) - P(\mathrm{artifact}\mid \mathrm{AI\ substitution}) ; Choice = \max(Make, Buy, Partner)",Economic Input-Output Models: How Linear Algebra Reveals Sector Interdependence and Production Requirements | Economics of AI Systems and Platform Power | Leontief Systems and Intersectoral Dependence: How Linear Algebra Traces Direct and Indirect Production Requirements | Economic Systems Modeling: Understanding Markets as Complex Systems | Fairness and Reciprocity in Economic Behavior
Energy and Climate,786,461,325,175,energy-systems-calculator | climate-change-scenario-tool | systems-modeling-tool | limits-to-growth-system-dynamics-tool | economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | decision-analysis-tool,"S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau ; \tau=\frac{1}{k} ; S^\*=\frac{I}{k} ; H_2A \rightleftharpoons H^+ + HA^- ; HA^- \rightleftharpoons H^+ + A^{2-}","Phase Transitions, Critical Phenomena, and the Renormalization Group | Quantum Field Theory I: Fields, Particles, and Second Quantization | Scattering Theory, Cross Sections, and Physical Inference | Numerical Methods in Physics | Computational Physics and Scientific Simulation"
Predictive Analytics,555,298,257,136,regression-analyzer | predictive-analytics-forecasting-tool | time-series-diagnostics-tool,"P(y \mid x) \neq P(y \mid do(x)) ; Replicas=\frac{Q}{Throughput_{replica}}=\frac{1200}{150}=8 ; L_{max}=200\ \mathrm{ms} ; L_{feature}=45,\quad L_{model}=80,\quad L_{network}=35,\quad L_{post}=20 ; \hat{y}=f_{\theta}(x)","Phase Transitions, Critical Phenomena, and the Renormalization Group | Machine Learning and Linear Algebra: How Vectors, Matrices, and Optimization Shape Learned Models | Trait Hierarchies, Facets, and the Architecture of Personality | Grit and Conscientiousness: Overlap, Distinction, and Debate | Projections, Reflections, and Geometric Interpretation: How Linear Algebra Makes Matrix Behavior Visible"
Astrophysics and Aerospace,481,264,217,52,rocket-science-and-orbital-mechanics-calculator | astrophysics-research-calculator | energy-systems-calculator | climate-change-scenario-tool | mechanical-systems-engineering-tool | structural-engineering-tool | electronics-engineering-calculator | rf-and-antenna-calculator,Useful\ Scientific\ Representation = Compression + Prediction + Interpretability + Validation ; \frac{dP}{dr} = -\frac{G M(r)\rho(r)}{r^2} ; t_{\star} \propto \frac{M}{L} ; L \propto M^{3.5} ; t_{\star} \propto M^{-2.5},"General Relativity: Geometry, Gravity, and Spacetime Curvature | Cosmology and the Large-Scale Structure of the Universe | Gravitation, Orbits, and Celestial Mechanics | Electronic Structure and the Quantum Foundations of Chemistry | Cosmology and the History of the Universe"
