build_order,priority,feature_id,feature_name,feature_type,category,source_signal,estimated_matching_equations,article_count,example_equations,source_articles,why_build_it,recommended_inputs,recommended_outputs,recommended_backend,recommended_ui,first_mvp_scope,depends_on,status
31,P1,bayesian-evidence-updater,Bayesian Evidence and Belief Update Calculator,calculator/backlog,Probability / inference,calculator-backlog-csv,168,,"H^* = \arg\max_H P(H \mid O); Y\sim P(y\mid\theta); R_{workflow} = \sum_{t=1}^{T} P(a_t \mid s_t)\, L(a_t,s_t,G)",,"Turn prior, likelihood, and evidence into posterior reasoning and uncertainty updates.","prior probability, likelihood, false positive/negative rates, evidence","posterior probability, likelihood ratio, sensitivity table, explanation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Useful for decision science, medical/public health, research inference, and AI evaluation.",feature-builder-dashboard,proposed
32,P1,network-cascade-graph-tool,Network Dependency and Cascade Risk Tool,calculator/backlog,Graph systems,calculator-backlog-csv,156,,"G=(V,E); MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution; KG = (V, E, R, P)",,"Analyze dependency networks, cascades, centrality, bottlenecks, and failure propagation.","node list, edge list, weights, dependency types","network metrics, centrality table, cascade simulation, graph export",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Ideal for infrastructure, institutions, supply chains, and systems thinking.",feature-builder-dashboard,proposed
33,P1,policy-coherence-tradeoff-tool,"Policy Coherence, Synergy, and Tradeoff Calculator",calculator/backlog,Governance / policy,calculator-backlog-csv,111,,R_s = \alpha H + \beta E + \gamma V + \delta K + \epsilon B_a - \lambda C - \mu M - \nu G; S = \alpha D + \beta I + \gamma C + \delta A + \epsilon E; R_p = S \times L \times (1-D),,"Measure policy contradiction, synergy, spillover risk, monitoring quality, and coordination capacity.","policy domains, contradiction scores, synergy scores, spillover weights","coherence score, contradiction map, policy report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Directly suggested by several equation-heavy sustainability policy articles.,feature-builder-dashboard,proposed
34,P1,eigen-stability-calculator,Eigenvalue Stability and State Transition Calculator,calculator/backlog,Linear systems,calculator-backlog-csv,58,,\frac{d\mathbf{x}}{dt}=A\mathbf{x}(t)+B\mathbf{u}(t); \mathbf{x}_{t+1}=A\mathbf{x}_t+B\mathbf{u}_t; \mathbf{x}_{t+1}=A\mathbf{x}_t,,"Analyze whether matrix-driven systems converge, oscillate, diverge, or decouple.","state matrix, initial vector, time horizon","eigenvalues, mode decomposition, trajectory plot, stability classification",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Can power Markov dynamics, systems modeling, control, and economics tools.",feature-builder-dashboard,proposed
35,P2,mechanics-energy-momentum-tool,"Physics Mechanics, Energy, and Momentum Calculator",calculator/backlog,Physics,calculator-backlog-csv,1389,,"S(t)=S(t_0)+\int_{t_0}^{t} F(\tau)\,d\tau; S(t)=S(t_0)+\int_{t_0}^{t}\big(I(\tau)-O(\tau)\big)\,d\tau; S(t)-S(t_0)=\int_{t_0}^{t}F(\tau)\,d\tau",,"Compute forces, work, energy, momentum, torque, rotation, and idealized mechanical systems.","mass, velocity, force, distance, angle, radius, time","values, motion graph, energy diagram, safety caveats",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Part of the professional systems layer.,feature-builder-dashboard,proposed
36,P2,psychology-scale-reliability-tool,Psychology Scale and Construct Reliability Tool,calculator/backlog,Psychology / behavioral science,calculator-backlog-csv,1000,,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; \alpha: W \rightarrow M; \alpha_{A^-} = \frac{K_a}{K_a + [H^+]},,"Compute scale scores, Cronbach-style reliability, factor/construct checks, and group comparisons.","item responses, reverse-code flags, groups, scale map","score distribution, reliability estimate, interpretation limits",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Supports cognitive/social/personality/positive psychology and grit.,feature-builder-dashboard,proposed
37,P2,quantum-nuclear-particle-physics-tool,"Quantum, Nuclear, and Particle Physics Education Calculator",calculator/backlog,Advanced physics,calculator-backlog-csv,957,,\psi(M) \approx \phi(W) \quad \text{for purpose } U; V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t; P_{t+1} = \lambda M_t + \epsilon_t,,"Support safe educational calculations for wave functions, uncertainty, decay, event rates, and particle units.","energy, frequency, half-life, cross section, luminosity, uncertainties","unit conversions, decay curve, event-rate estimates, warnings",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Explicitly keep non-weapons, non-operational scope.",feature-builder-dashboard,proposed
38,P2,content-framework-completeness-tool,Content Framework Completeness and Evidence Support Calculator,calculator/backlog,Content frameworks,calculator-backlog-csv,920,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,"Score explanatory completeness, evidence support, balance, audience path, and governance needs.","content assets, 5W1H coverage, evidence counts, weights","completeness score, missing-question map, editorial recommendations",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Directly supported by early equations in the CSV.,feature-builder-dashboard,proposed
39,P2,rf-antenna-link-budget-tool,"RF, Antenna, and Link Budget Calculator",calculator/backlog,RF / communications,calculator-backlog-csv,861,,"V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t; P_{t+1} = \lambda M_t + \epsilon_t; G_i^{*} = G_i - \lambda \max(0, F_i - A_i)",,"Compute wavelength, link budget, free-space path loss, antenna gain, impedance, and noise margin.","frequency, distance, transmit power, gains, losses, bandwidth, noise figure","link budget table, margin, frequency/wavelength converter",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Important for RF engineers and embedded systems.,feature-builder-dashboard,proposed
40,P2,risk-resilience-impact-matrix,"Risk, Resilience, and Impact Matrix",calculator/module,Risk / resilience,equation-registry-pattern,742,436,"C_A \leq f(P(H), Q_E, L_R) ; R = (E, S, C) ; \text{exposure unit}=\text{intensity unit}\times \text{time unit} ; A_r = P_sw_p + V_sw_v + C_lw_c + S_ow_s + U_ew_u + (1 - H_r)w_h ; R_r = w_1C^{rec}_r + w_2S^{rec}_r + w_3F^{restore}_r","Feedback Loops, Delay, and Instability in Risk Systems | AI Systems in Organizations and Institutions | Cascading Failures in Interdependent Systems | Adaptive Cycles and Panarchy in Social-Ecological Systems | Resilience, Robustness, and Antifragility","Build risk, exposure, vulnerability, consequence, and resilience scorecards.","hazards, likelihoods, consequences, exposures, resilience factors","risk scores, ranking, heatmap, mitigation priority",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
41,P2,materials-stress-strain-tool,"Materials, Stress-Strain, and Failure Screening Tool",calculator/backlog,Materials / mechanical engineering,calculator-backlog-csv,687,,"B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)}; E=\int_{t_0}^{t_1}C(t)\,dt; A_t = \frac{\theta + \mu L_t + \delta D_t + \sigma S_t}{1 + R_t}",,"Estimate stress, strain, elastic response, safety factor, fatigue screening, and material comparison.","loads, geometry, material properties, allowable stress","stress/strain values, safety factor, comparison chart",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Educational only; not licensed engineering advice.,feature-builder-dashboard,proposed
42,P2,ode-phase-stability-workbench,"ODE, Phase Plane, and Stability Workbench",calculator/module,Differential equations,equation-registry-pattern,686,197,\frac{dS}{dt}=F(t) ; \frac{dS}{dt}=I(t)-O(t) ; \frac{dS}{dt}=I(t)-kS(t) ; \frac{dN}{dt}=rN\left(1-\frac{N}{K}\right) ; \frac{dQ}{dt}=r(t),Lagrangian and Hamiltonian Mechanics | Differential Equations and Dynamic Models: How Mathematical Models Represent Change | Differential Equations and Dynamic Systems | Separable Equations and Simple Dynamic Laws | Related Rates and Interdependent Motion: How Calculus Tracks Connected System Change,"Convert continuous dynamics equations into trajectories, equilibria, and stability interpretation.","ODE system, parameters, initial conditions, time horizon","trajectory graph, phase plot, equilibrium/stability notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
43,P2,quantum-particle-physics-calculator,Quantum and Particle Physics Calculator,calculator/module,Advanced physics,equation-registry-pattern,647,234,"B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; \psi(M) \approx \phi(W) \quad \text{for purpose } U ; A_t = \frac{\theta + \mu L_t + \delta D_t + \sigma S_t}{1 + R_t} ; R^{slow}_{t+1} = R^{slow}_t - \phi \Omega^{fast}_t + \psi M^{slow}_t ; I_{it} = \rho I_{i,t-1} + \beta t + \omega A_{it} + \psi O_{it} + \gamma P_{it} + \delta F_{it} + \theta S_{it} - \lambda X_{it} +","Scattering Theory, Cross Sections, and Physical Inference | Continuum Physics and Material Behavior | Path Integrals and the Functional Formulation of Physics | Quantum Field Theory I: Fields, Particles, and Second Quantization | Quantum Mechanics and the Limits of Classical Intuition","Support quantum mechanics, particle physics, scattering, decay, measurement, and uncertainty examples.","energy, momentum, mass, lifetime, cross-section, detector assumptions","unit conversions, event estimate, uncertainty and interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
44,P2,network-cascade-dependency-tool,Network Dependency and Cascade Tool,calculator/module,Graph systems,equation-registry-pattern,612,310,"MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution ; s_i(t+1) = R_i\big(s_i(t),\, N_i(t),\, E(t),\, \theta_i\big) ; N_i(t) = \{j : d(i,j) \leq r\} ; a_i(t)=\frac{1}{|N_i|}\sum_{j\in N_i}x_j(t) ; G=(V,E)","Edge AI and Distributed Intelligence | Semiconductor Physics and Electronic Materials | Collective Action: How Groups Mobilize to Produce Social Change | Network Adjacency Matrices: How Linear Algebra Encodes Connectivity and Relationships | Case Study: Network System Modeling: How Linear Algebra Represents Connection, Flow, and Vulnerabili","Map dependency graphs, cascade risks, centrality, and network resilience.","nodes, edges, weights, failure scenario","network metrics, cascade path, critical nodes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
45,P2,biology-ecology-growth-tool,"Biology, Ecology, and Growth Modeling Tool",calculator/module,Biology / ecology,equation-registry-pattern,612,333,"Agent\ Governance = Permission + Traceability + Review + Recovery ; SystemLearning_{t+1} = f(Errors_t, Feedback_t, Review_t, Revision_t) ; Governance\ Evidence = Inventory + Risk\ Register + Control\ Map + Audit\ Trail ; Learning\ System = People + Curriculum + Assessment + Tools + Data + Governance ; R_{learn} = w_1 S + w_2 I + w_3 P + w_4 Q + w_5 D + w_6 G","Modeling Population Dynamics | Pivot Structure and Solvability: How Linear Algebra Reveals Whether Systems Can Be Solved | The Future of Artificial Intelligence Systems | Autonomous Systems and Edge Intelligence | Projections, Reflections, and Geometric Interpretation: How Linear Algebra Makes Matrix Behavior Vis","Support biological, ecological, evolutionary, and population-dynamics articles.","population, growth rate, carrying capacity, interaction terms","growth curve, stability, ecological interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
46,P2,economics-policy-systems-suite,Economics and Policy Systems Suite,calculator/module,Economics / policy,equation-registry-pattern,433,242,x+y=y+x ; LovelaceLegacy = Procedure + SymbolicGenerality + MachineImagination + Limits ; Y=\frac{P}{A} ; Memory = Capability + Liability ; B_g = Delay_g + Cost_g + Complexity_g + Error_g,"Functional Relationships and Mathematical Structure: How Mathematical Models Define System Behavior | Algebraic Models and Static Relationships: How Mathematical Models Connect Variables | Change of Variables in Multidimensional Systems | Bias, Fairness, and Accountability in Artificial Intelligence | Economics of AI Systems and Platform Power","Support economics, welfare, policy coherence, development, beyond-GDP, and tradeoff modeling.","economic indicators, social indicators, ecological costs, policy weights","welfare score, tradeoff map, sensitivity table",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
47,P2,signal-fourier-spectral-analysis,"Signal, Fourier, and Spectral Analysis Tool",calculator/module,Scientific computing,equation-registry-pattern,427,143,"\Omega_r = o_1R_r + o_2K^{rigid}_r + o_3V_r + o_4K_r + o_5I_r ; \Delta_r = \max\left(0,\left(d_1\Omega_r + d_2P^{revolt}_r + d_3Z_r + d_4I_r\right)(1 + \theta I_r) - T_r\right) ; R^{slow}_{t+1} = R^{slow}_t - \phi \Omega^{fast}_t + \psi M^{slow}_t ; I_{it} = \rho I_{i,t-1} + \beta t + \omega A_{it} + \psi O_{it} + \gamma P_{it} + \delta F_{it} + \theta S_{it} - \lambda X_{it} + ; F_a = \rho A_d + \sigma V_c + \tau M_d + \phi P_o + \chi C_c - \omega F_b","Waves, Oscillations, and Resonance | Rotational Dynamics, Torque, and Angular Momentum | Scattering Theory, Cross Sections, and Physical Inference | Quantum Field Theory I: Fields, Particles, and Second Quantization | Cosmology and the Large-Scale Structure of the Universe","Analyze spectral, Fourier, oscillatory, and signal-processing equations across science and engineering.","signal samples, sampling rate, transform type","spectrum, dominant frequency, reconstruction notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
48,P2,stock-flow-accumulation-simulator,Stock-Flow and Accumulation Simulator,calculator/module,Systems modeling,equation-registry-pattern,420,194,"X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t ; S_{t+1}=S_t+I_t-D_t-L_t ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; \frac{dS}{dt}=F(t) ; \frac{dS}{dt}=I(t)-O(t)","Discrete Models and Recurrence Relations: How Mathematical Models Represent Stepwise Change | Functional Relationships and Mathematical Structure: How Mathematical Models Define System Behavior | Stocks, Flows, and the Architecture of Change | Reinforcement Learning in Dynamic Environments | Equations, Inequalities, and Model Logic: How Mathematical Models Define What Must Hold","Run stock, flow, depletion, exposure, and accumulation models from site equations.","initial stock, inflow, outflow, decay, time horizon","stock curve, net-flow plot, threshold flags, scenario report",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
49,P2,causal-counterfactual-estimator,Causal Effect and Counterfactual Estimator,calculator/module,Causal inference,equation-registry-pattern,278,185,R_{\text{residual}} = R_{\text{initial}} - R_{\text{mitigated}} ; Generated\ Hypothesis \rightarrow Testable\ Claim \rightarrow Evidence \rightarrow Scientific\ Knowledge ; AI\text{-}Generated\ Result \neq Scientific\ Claim ; R_{\mathrm{residual}}=R_{\mathrm{inherent}}-R_{\mathrm{mitigated}} ; Ingest \rightarrow Validate \rightarrow Transform \rightarrow Featureize \rightarrow Train,Causal Inference and Experimental Design in AI Systems | Edge AI and Distributed Intelligence | Economics of AI Systems and Platform Power | Mathematical Thinking and AI-Assisted Discovery | Knowledge Representation and Artificial Reasoning,"Analyze potential outcomes, counterfactual logic, treatment/control comparisons, and causal claims.","treated outcomes, control outcomes, assumptions, covariates","effect estimate, assumptions checklist, sensitivity notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
50,P2,climate-environmental-systems-index,Climate and Environmental Systems Index,calculator/module,Climate / environment,equation-registry-pattern,177,112,A\approx \sum_{i=1}^{n}F_i\Delta t_i ; CO_2(aq) + H_2O \rightleftharpoons H_2CO_3 ; P_{t+1} = P_t - \alpha S_t + \beta L_t + \gamma C_t + \delta T_t ; Q(t_n)\approx Q_0+\sum_{i=0}^{n-1} r(t_i)\Delta t ; Q(t_n)\approx Q_0+\sum_{i=0}^{n-1}\frac{r(t_i)+r(t_{i+1})}{2}\Delta t,Numerical Methods in Physics | Ocean Chemistry and the Carbonate System | Computational Physics and Scientific Simulation | Climate Physics and Planetary Energy Balance | Finite Difference Methods,"Support environmental monitoring, climate, planetary boundaries, and global-impact index building.","indicators, thresholds, weights, region/time period","impact index, threshold flags, scenario comparison",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
51,P2,story-narrative-meaning-matrix,"Story, Narrative, Symbolism, and Meaning Matrix",calculator/backlog,Storytelling / meaning,calculator-backlog-csv,115,,"LovelaceLegacy = Procedure + SymbolicGenerality + MachineImagination + Limits; CipherSymbol \rightarrow PlainLetter; (State, Symbol) \rightarrow (NewState, NewSymbol, Move)",,"Turn narrative, symbolism, mythic structure, and meaning-centered interpretation into structured analysis.","story elements, symbols, tensions, transformations, audience/context","interpretive matrix, theme map, narrative arc summary",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Not numeric-heavy, but fits the Workbench’s interpretive layer.",feature-builder-dashboard,proposed
52,P2,clinical-research-epidemiology-tool,Clinical Research and Epidemiology Calculator,calculator/backlog,Health / medicine,calculator-backlog-csv,114,,"Governance\ Evidence = Inventory + Risk\ Register + Control\ Map + Audit\ Trail; Risk\ Score \rightarrow Clinical\ Review \rightarrow Action \rightarrow Outcome \rightarrow Monitoring; Review=f(Data,Model,Metrics,Risk,Security,Use)",,"Compute diagnostic metrics, risk ratios, odds ratios, NNT/NNH, trial summaries, and public-health rates.","2x2 table, exposure groups, event counts, population/time","diagnostic table, confidence intervals, interpretation caveats",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Physician-facing educational only, not diagnosis/treatment.",feature-builder-dashboard,proposed
53,P2,power-grid-energy-systems-tool,Power Systems and Grid Reliability Calculator,calculator/backlog,Power systems,calculator-backlog-csv,110,,"Capacity = Replicas \times Throughput_{replica}; Reliability=1-P(Failure); Deployment \leq \min(Data,Compute,Storage,Serving,Reliability,Governance)",,"Model load, capacity, storage, reliability margins, voltage drop, generation mix, and outage risk.","load profile, generation capacity, storage, demand growth, losses","load curve, capacity margin, reliability indicators",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Supports energy systems and infrastructure content.,feature-builder-dashboard,proposed
54,P2,electrical-circuit-tool,Electrical Circuit and Power Calculator,calculator/backlog,Electrical engineering,calculator-backlog-csv,102,,"WP=\frac{Y}{W}; Labor\ Impact = f(Technology,\ Organization,\ Policy,\ Power); AP = Current\ Benefits - Social\ Costs - Ecological\ Costs",,"Analyze DC/AC circuits, Ohm’s law, impedance, filters, RC/RL time constants, and power.","voltage, current, resistance, capacitance, inductance, frequency","circuit values, Bode-style plot, power summary",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Expand existing electrical calculator toward professional depth.,feature-builder-dashboard,proposed
55,P2,social-behavior-network-tool,Social Influence and Behavioral Systems Tool,calculator/backlog,Social psychology,calculator-backlog-csv,60,,"L_{feature}=45,\quad L_{model}=80,\quad L_{network}=35,\quad L_{post}=20; Model\ Output + Workflow + Authority = System\ Behavior; Predicted\ Risk = Physical\ Condition + Exposure + Network\ Consequence + Data\ Quality",,"Analyze social norms, influence pathways, group dynamics, adoption, and behavior-change leverage points.","actors/groups, influence strengths, behaviors, intervention points","influence matrix, leverage ranking, network graph",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Maps behavioral science and public-policy article equations into tools.,feature-builder-dashboard,proposed
56,P2,lab-assay-dose-response-tool,"Lab Assay, Dose-Response, and Calibration Tool",calculator/backlog,Lab science,calculator-backlog-csv,40,,Digital\ Twin = Model + Data + Calibration + Scenario\ Logic + Governance; \text{Calibration Gap} = \left|\text{Human Reliance} - \text{System Reliability}\right|; v = \frac{V_{\max}[S]}{K_M + [S]},,"Analyze calibration curves, dilution, dose response, enzyme kinetics, assay quality, and lab reproducibility.","standards, concentrations, absorbance/response, replicates","curve fit, residuals, LOD/LOQ hints, QC report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Useful for biologists, chemists, and lab scientists.",feature-builder-dashboard,proposed
57,P2,rocket-orbital-astrophysics-tool,"Rocket, Orbital, and Astrophysics Calculator",calculator/backlog,Aerospace / astrophysics,calculator-backlog-csv,29,,w = -P_{\mathrm{ext}}\Delta V; e_{\mathrm{settle}} \approx \Delta V e^{-T_{\mathrm{acquire}}/(R_s C_{\mathrm{in}})}; \Delta V_{\Omega} = IR,,"Handle orbital mechanics, delta-v, escape velocity, Keplerian periods, redshift, and simple astrophysics quantities.","mass, altitude, body parameters, velocity, redshift, observation data","trajectory/orbit estimates, energy calculations, report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,CSV includes astrophysics and aerospace domain entries.,feature-builder-dashboard,proposed
58,P2,structural-beam-column-tool,"Structural Beam, Column, and Load Path Calculator",calculator/backlog,Structural engineering,calculator-backlog-csv,13,,\text{Momentum}_{t+1} = \text{Momentum}_t + \text{Visibility}_t + \text{Participation}_t - \text{Resistance}_t; \det(A)\neq0 \quad\Longleftrightarrow\quad \operatorname{rank}(A)=n \quad\Longleftrightarrow\quad \text{every column has a pivot}; \det(A)=0 \quad\Longleftrightarrow\quad \text{columns of }A\text{ are linearly dependent},,"Analyze simplified beams, columns, loads, shear/moment, deflection, and buckling risk.","span, load, support type, section properties, material","shear/moment diagram, deflection estimate, warning flags",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,High value for professional systems; must have strong safety limitations.,feature-builder-dashboard,proposed
59,P3,csv-equation-feature-miner,CSV Equation Feature Miner,calculator/backlog,Developer tooling,calculator-backlog-csv,14548,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,Read the equation registry CSV and suggest new calculators automatically from equation patterns.,"equation registry CSV, thresholds, domain map","feature backlog, calculator suggestions, evidence counts, implementation priority",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,This should be built as an admin/developer tool.,feature-builder-dashboard,proposed
